site,Es_var,r_swc,p_swc,s_swc,i_swc,r_vpd,p_vpd,s_vpd,i_vpd,r_sw,p_sw,s_sw,i_sw,r_ta,p_ta,s_ta,i_ta
IDN_JAM_OIL,Egu_Es_mm_day_y,0.49277320025579274,0.39898997916199846,18.245351737505374,-4.085639438584084,0.4683686246310245,0.42623837214049687,0.4803999345123877,2.2121054532941935,0.8455633296120466,0.07114330056480964,0.004227699229625475,1.440210187451138,0.5564105060718961,0.3300307482565405,0.1969507937875796,-3.046108156268226
IDN_JAM_RUB,Hbr_Es_mm_day_y,0.34889130075892677,0.12111857290908222,12.74016272683258,-2.3149795970078944,-0.05849897572945428,0.8011367938981324,-0.03909807272529412,2.0778811909283306,0.34837912234578167,0.12170287309339593,0.00148032645004197,1.394510426237732,0.010841451485769427,0.9627995746338116,0.002841837548015643,1.920292356052633
IDN_PON_STE,Cac_Es_mm_day_y,0.6922907954856599,4.079850642855214e-06,11.733262270356724,-0.11363638062668135,-0.09136334850658344,0.601686514384745,-0.24253559740258082,3.2492045494972768,0.3030946746929713,0.07674224251465175,0.0028343511139799506,1.97840454611664,0.03843417683760655,0.826492175303706,0.03265384571171837,2.2604022563204875
IDN_PON_STE,Cla_Es_mm_day_y,-0.12550264870937253,0.47253127033982767,-0.024722812529202894,0.04268974324607341,0.8211447970515342,1.517477255734727e-09,0.025335996477422906,0.013041632779743986,0.5949515613266729,0.0001635834769410753,6.466536219022163e-05,0.01210441461344345,0.7720837707983456,5.584126373363715e-08,0.007624229119668621,-0.14333591151955416
IDN_PON_STE,Msp_Es_mm_day_y,-0.13498847994083882,0.4394346343676263,-0.0712898868414046,0.18482392931509373,0.39892562556923405,0.0176032448943214,0.03299866829249381,0.1357399101038051,0.710671617864557,1.7237667488424926e-06,0.00020708341178502976,0.08898890546699345,0.5965019206739256,0.00015568231621233058,0.01579172585911763,-0.2058612589254878
IDN_PON_STE,Plu_Es_mm_day_y,0.49485515514311357,0.002510416143720562,0.8468565255332813,0.33217425314822724,0.09453044596575552,0.5890927048800217,0.025338255248507167,0.5359510733624666,0.5740462306989864,0.00031134708712849925,0.0005420305074484306,0.35811129058037167,0.2537067033670867,0.14139306444473496,0.02176457609973347,0.04684160223997824
IDN_PON_STE,Pex_Es_mm_day_y,0.5988559469797711,0.00014433855140035621,0.33753493596334144,0.0006721798995635575,0.08283161184580774,0.6361732997824625,0.007312497602251287,0.08442499700948476,0.18375855718505027,0.29065778253232216,5.714642381368551e-05,0.06989338283340794,0.059822513435829554,0.7328269493045712,0.0016902367919444383,0.05129836072528074
IDN_PON_STE,Pfi_Es_mm_day_y,-0.19779485182867992,0.25471590449808085,-0.48723991508964387,0.6385197522846391,0.4182578780896676,0.01240540272493321,0.16137834806161827,0.3613567754197464,0.6948071498379292,3.63948000707937e-06,0.000944359330932738,0.15806091242802262,0.5568447192720473,0.0005123129063972212,0.06876200189091024,-1.1099995677018208
IDN_PON_STE,Sap_Es_mm_day_y,-0.47167230921983905,0.004231099204597442,-0.148491177916853,0.11473187377494073,0.5128179778800261,0.0016329667100906198,0.0252869688814163,0.05198059287578206,0.7836294111426028,2.6006725083610133e-08,0.00013611817606813212,0.02451943634976083,0.6610204865272643,1.543234498889682e-05,0.010431859340071913,-0.17050735591283156
IDN_PON_STE,Var_Es_mm_day_y,0.10033617998185858,0.5663133676033527,0.04496854277167108,0.06855421027098647,0.12254040259347193,0.483128218228681,0.008602086693037409,0.07277963908945109,0.15367537121580696,0.37810693670186746,3.80014916842207e-05,0.06651491351575109,0.1891114410744688,0.27658573832363187,0.004248695308794805,-0.01937757399140956
ISR_YAT_YAT,Pha_Es_mm_day_y,0.15026635032493713,0.07426900364978667,1.5645799926135944,0.5627566211269119,-0.3067519850320347,0.0005891865890968397,-0.07187878804934927,0.8936694230840136,-0.13980882037166445,0.09702522228189946,-0.0010912189575166887,1.3383821030197285,-0.2768280971757265,0.0008528292883571244,-0.01966836392742823,1.245673717903406
ITA_FEI_S17,Lde_mean_y,0.6140234799108799,9.297660324785613e-06,15.613434526976405,0.43183806552729154,-0.24629697734172554,0.10703739045375163,-0.6196348044717311,3.185288051151594,0.22853845259077923,0.13566298076047825,0.001592796350010421,1.8005049932166233,-0.3366847198044686,0.025436376129842918,-0.0645058728357263,3.7494351922479163
ITA_KAE_S20,Lde_mean_y,-0.4742896055474472,0.0034734761837224453,-7.314175403669359,4.037652053203328,0.5630184070936959,0.00035049768919635256,0.8844218616786539,1.6059254660644369,0.2517319272391445,0.13859151069006168,0.0015284974296198794,1.3987294347830381,0.7200720393429534,7.398078510558217e-07,0.09505245965816914,0.9131044160700139
ITA_MAT_S21,Lde_mean_y,0.012097504288264345,0.9433475481651468,0.32809981096331087,3.491424157209262,0.2111587726446913,0.20964325935923991,0.7626379377383624,2.9246704447539527,-0.054171796969739346,0.7501524538757773,-0.0005366191263013108,3.906845551101189,0.2723851174474642,0.10289178438731234,0.10040307597907391,2.024401052098383
ITA_MAT_S21,Pce_mean_y,0.5209450750580297,0.0009470655134732693,5.760563573761338,-0.9972737769165521,-0.2964390047314532,0.07482011801688093,-0.43652333541118016,1.8379741292546092,0.14600555565740614,0.3885395577499783,0.0005896918546798815,1.1299836783581219,-0.2701767804655988,0.10582382359689614,-0.040604531807748034,2.0835958371132315
ITA_MUN,Lde_mean_y,0.7113971043045293,1.640433534993531e-14,14.330425879141044,-0.11482636902272114,-0.1861825222769135,0.0860957511721019,-0.22398853691293677,1.573843654801415,0.20338653114788188,0.060352204469629224,0.0007693579742318233,0.8567748436499434,-0.27227092360290617,0.01120959176853771,-0.0328804830494918,1.9547258741199687
ITA_RUN_N20,Lde_mean_y,0.5538270877245235,1.194336173012549e-07,24.43867958989439,-2.2483683231869165,0.12948746933169916,0.25538732961946303,0.9556733272335041,2.1222493227373946,0.05782334640816352,0.6127323238736451,0.0010452684952956394,2.2248690844052486,0.1813509442538979,0.1097131514621496,0.09896828317059853,1.3977343845837296
ITA_RUN_N20,Pce_mean_y,0.6806671402096345,5.159634177518033e-12,12.692249359334255,-1.2288759819096888,0.23236933806644403,0.039329498869944815,0.7247042517033387,0.8873672867902658,0.20805385799007547,0.06577735914465167,0.001589280954100283,0.553391368830549,0.27980104910375503,0.012511310093525149,0.06452467420562885,0.483375861890156
ITA_TOR,Lde_Es_mm_day_y,-0.006388468319734432,0.9572207636063159,-0.011241755584507289,0.4237562475782543,0.23450228990909378,0.04583097463723224,0.06209195712989502,0.37296485707925175,0.48223200536183647,1.5595946829434503e-05,0.0004107392247158887,0.18059416992016136,0.1408661489002459,0.2345475545463981,0.003452420328585792,0.3720563559512524
NZL_HUA_HUA,Aau_Es_mm_day_y,0.2282738661273894,0.0029196526584570224,0.8355659865971486,1.0075030103939313,0.24513394853994072,0.0013620032924512326,0.2995028743040941,1.0741936390302405,0.3923945833021036,1.4360532481900273e-07,0.0020516582732355436,0.9221604965413127,-0.03528896606777106,0.649739718681231,-0.005288172520013718,1.4512264733254387
PRT_LEZ_ARN,Qsu_Es_mm_day_y,0.0,,,,0.0,,,,0.0,,,,0.0,,,
RUS_POG_VAR,Lgm_mean_y,0.46612530457962503,0.006255749426054209,16.279661878332423,1.5866835339087442,0.6921080080426887,8.12917833766719e-06,1.0060093937765335,2.321872716466438,0.7848432598814246,6.421067466098847e-08,0.006540131976791877,1.0934766550965587,0.7309576572980719,1.3604716077522506e-06,0.15157117282204882,0.46528618907279196
RUS_POG_VAR,Lsi_mean_y,0.244679719692935,0.024887899376207265,7.8544295695426,2.516004049897927,0.7635385499889258,3.042363702388462e-17,1.3016000049010281,1.8928132008191254,0.8391457042504344,2.1415403312526375e-23,0.007614775035973725,0.5816264898256263,0.6988917791568503,1.4403270211276798e-13,0.16000784276519073,0.2206193625342947
RUS_POG_VAR,Psi_mean_y,0.39204972422139645,0.00022588026217666783,6.95347812658036,1.3375769393727104,0.48677158068499443,2.665715652075067e-06,0.45847541485721793,1.6926009268051279,0.6394504915316831,5.873673995370486e-11,0.0032060544359006566,1.0235369166515942,0.4489413120659265,1.8415309247672364e-05,0.056789124612534096,1.0945650630248378
SWE_NOR_ST1_BEF,Pab_Es_mm_day_y,-0.17273054653043893,0.522359286416066,-1.1896544201839145,0.8888726918206367,0.9370830574434335,8.852409927682e-08,0.2737459937716298,0.35981560549307795,0.9171454724046991,5.760869002048381e-07,0.0010226175872545284,0.20408939345254562,0.7989326781611727,0.00020548209041805073,0.04192905641364942,-0.11959775977670717
SWE_NOR_ST1_BEF,Psy_Es_mm_day_y,-0.18549139824724542,0.4915880176714065,-2.3293671544054155,1.6467688628519581,0.686453194696685,0.003316581245977997,0.36563108709362185,0.8297234705374197,0.7168451892691587,0.001778353349876829,0.001457346771244847,0.5763378932800624,0.7882313652214581,0.0002864996618687768,0.07542600630589165,-0.1955928223757155
